Index,Filename,Imagew,Imageh,boxw,boxh
0,005/000001.jpg,720,404,189,347
1,005/000002.jpg,720,404,197,335
2,005/000003.jpg,720,404,213,320
3,005/000004.jpg,720,404,212,267
4,005/000005.jpg,720,404,212,276
5,005/000006.jpg,720,404,198,261
6,005/000007.jpg,720,404,163,257
7,005/000008.jpg,720,404,185,235
8,005/000009.jpg,720,404,203,243
9,005/000010.jpg,720,404,179,247
10,005/000011.jpg,720,404,157,266
11,005/000012.jpg,720,404,175,289
12,005/000013.jpg,720,404,184,301
13,005/000014.jpg,720,404,217,325
14,005/000015.jpg,720,404,258,346
15,005/000016.jpg,720,404,278,338
16,005/000017.jpg,720,404,324,299
17,005/000018.jpg,720,404,326,297
18,005/000019.jpg,720,404,310,291
19,005/000020.jpg,720,404,292,230
20,005/000021.jpg,720,404,220,237
21,005/000022.jpg,720,404,229,259
22,005/000023.jpg,720,404,230,277
23,005/000024.jpg,720,404,242,265
24,005/000025.jpg,720,404,234,264
25,005/000026.jpg,720,404,220,268
26,005/000027.jpg,720,404,223,270
27,005/000028.jpg,720,404,214,256
28,005/000029.jpg,720,404,247,277
29,005/000030.jpg,720,404,252,245
30,005/000031.jpg,720,404,214,262
31,005/000032.jpg,720,404,206,260
32,005/000033.jpg,720,404,219,259
33,005/000034.jpg,720,404,252,241
34,005/000035.jpg,720,404,213,263
35,005/000036.jpg,720,404,222,258
36,005/000037.jpg,720,404,203,250
37,005/000038.jpg,720,404,203,244
38,005/000039.jpg,720,404,233,241
39,005/000040.jpg,720,404,232,251
40,005/000041.jpg,720,404,242,278
41,005/000042.jpg,720,404,258,280
42,005/000043.jpg,720,404,303,285
43,005/000044.jpg,720,404,324,292
44,005/000045.jpg,720,404,336,296
45,005/000046.jpg,720,404,343,307
46,005/000047.jpg,720,404,355,314
47,005/000048.jpg,720,404,346,301
48,005/000049.jpg,720,404,328,296
49,005/000050.jpg,720,404,294,292
50,005/000051.jpg,720,404,257,285
51,005/000052.jpg,720,404,234,282
52,005/000053.jpg,720,404,258,298
53,005/000054.jpg,720,404,237,286
54,005/000055.jpg,720,404,214,241
55,006/000001.jpg,720,404,278,333
56,006/000002.jpg,720,404,286,342
57,006/000003.jpg,720,404,279,315
58,006/000004.jpg,720,404,291,339
59,006/000005.jpg,720,404,290,310
60,006/000006.jpg,720,404,292,310
61,006/000007.jpg,720,404,276,298
62,006/000008.jpg,720,404,264,300
63,006/000009.jpg,720,404,259,258
64,006/000010.jpg,720,404,257,264
65,006/000011.jpg,720,404,273,298
66,006/000012.jpg,720,404,247,290
67,006/000013.jpg,720,404,250,275
68,006/000014.jpg,720,404,243,268
69,006/000015.jpg,720,404,264,271
70,006/000016.jpg,720,404,224,277
71,006/000017.jpg,720,404,245,285
72,006/000018.jpg,720,404,252,259
73,006/000019.jpg,720,404,247,250
74,006/000020.jpg,720,404,264,255
75,006/000021.jpg,720,404,252,248
76,006/000022.jpg,720,404,248,258
77,006/000023.jpg,720,404,244,277
78,006/000024.jpg,720,404,235,263
79,006/000025.jpg,720,404,263,250
80,006/000026.jpg,720,404,263,241
81,006/000027.jpg,720,404,272,273
82,006/000028.jpg,720,404,245,247
83,006/000029.jpg,720,404,247,250
84,006/000030.jpg,720,404,258,256
85,006/000031.jpg,720,404,271,253
86,006/000032.jpg,720,404,268,252
87,006/000033.jpg,720,404,283,272
88,006/000034.jpg,720,404,279,229
89,006/000035.jpg,720,404,278,276
90,006/000036.jpg,720,404,258,256
91,006/000037.jpg,720,404,251,270
92,006/000038.jpg,720,404,249,265
93,006/000039.jpg,720,404,287,298
94,006/000040.jpg,720,404,292,276
95,006/000041.jpg,720,404,298,228
96,006/000042.jpg,720,404,303,276
97,006/000043.jpg,720,404,338,276
98,006/000044.jpg,720,404,323,271
99,006/000045.jpg,720,404,300,291
100,006/000046.jpg,720,404,295,319
101,006/000047.jpg,720,404,266,319
102,006/000048.jpg,720,404,268,309
103,006/000049.jpg,720,404,247,325
104,006/000050.jpg,720,404,228,296
105,006/000051.jpg,720,404,230,299
106,006/000052.jpg,720,404,222,257
107,006/000053.jpg,720,404,214,281
108,006/000054.jpg,720,404,205,264
109,006/000055.jpg,720,404,227,259
110,007/000001.jpg,720,404,186,303
111,007/000002.jpg,720,404,214,282
112,007/000003.jpg,720,404,217,270
113,007/000004.jpg,720,404,180,259
114,007/000005.jpg,720,404,176,269
115,007/000006.jpg,720,404,205,249
116,007/000007.jpg,720,404,195,251
117,007/000008.jpg,720,404,174,248
118,007/000009.jpg,720,404,162,260
119,007/000010.jpg,720,404,155,260
120,007/000011.jpg,720,404,191,314
121,007/000012.jpg,720,404,186,330
122,007/000013.jpg,720,404,204,346
123,007/000014.jpg,720,404,231,347
124,007/000015.jpg,720,404,278,325
125,007/000016.jpg,720,404,246,287
126,007/000017.jpg,720,404,223,248
127,007/000018.jpg,720,404,233,237
128,007/000019.jpg,720,404,225,262
129,007/000020.jpg,720,404,204,254
130,007/000021.jpg,720,404,195,241
131,007/000022.jpg,720,404,214,221
132,007/000023.jpg,720,404,258,214
133,007/000024.jpg,720,404,229,219
134,007/000025.jpg,720,404,196,229
135,007/000026.jpg,720,404,211,216
136,007/000027.jpg,720,404,244,236
137,007/000028.jpg,720,404,209,244
138,007/000029.jpg,720,404,207,226
139,007/000030.jpg,720,404,207,234
140,007/000031.jpg,720,404,230,213
141,007/000032.jpg,720,404,240,216
142,007/000033.jpg,720,404,207,226
143,007/000034.jpg,720,404,219,237
144,007/000035.jpg,720,404,225,229
145,007/000036.jpg,720,404,181,202
146,007/000037.jpg,720,404,210,231
147,007/000038.jpg,720,404,213,223
148,007/000039.jpg,720,404,250,239
149,007/000040.jpg,720,404,214,219
150,007/000041.jpg,720,404,191,224
151,007/000042.jpg,720,404,205,233
152,007/000043.jpg,720,404,226,230
153,007/000044.jpg,720,404,251,242
154,007/000045.jpg,720,404,268,271
155,007/000046.jpg,720,404,276,254
156,007/000047.jpg,720,404,268,277
157,007/000048.jpg,720,404,231,294
158,007/000049.jpg,720,404,217,296
159,007/000050.jpg,720,404,207,305
160,007/000051.jpg,720,404,223,301
161,007/000052.jpg,720,404,201,295
162,007/000053.jpg,720,404,209,284
163,007/000054.jpg,720,404,211,282
164,007/000055.jpg,720,404,241,270
165,008/000001.jpg,720,404,194,318
166,008/000002.jpg,720,404,232,347
167,008/000003.jpg,720,404,220,308
168,008/000004.jpg,720,404,253,294
169,008/000005.jpg,720,404,242,284
170,008/000006.jpg,720,404,249,283
171,008/000007.jpg,720,404,220,282
172,008/000008.jpg,720,404,213,272
173,008/000009.jpg,720,404,221,273
174,008/000010.jpg,720,404,199,280
175,008/000011.jpg,720,404,196,238
176,008/000012.jpg,720,404,211,240
177,008/000013.jpg,720,404,210,246
178,008/000014.jpg,720,404,218,236
179,008/000015.jpg,720,404,233,237
180,008/000016.jpg,720,404,234,230
181,008/000017.jpg,720,404,233,224
182,008/000018.jpg,720,404,208,262
183,008/000019.jpg,720,404,234,265
184,008/000020.jpg,720,404,213,246
185,008/000021.jpg,720,404,208,257
186,008/000022.jpg,720,404,201,245
187,008/000023.jpg,720,404,171,218
188,008/000024.jpg,720,404,228,224
189,008/000025.jpg,720,404,216,231
190,008/000026.jpg,720,404,226,213
191,008/000027.jpg,720,404,233,244
192,008/000028.jpg,720,404,226,237
193,008/000029.jpg,720,404,199,218
194,008/000030.jpg,720,404,213,231
195,008/000031.jpg,720,404,211,222
196,008/000032.jpg,720,404,219,231
197,008/000033.jpg,720,404,186,203
198,008/000034.jpg,720,404,209,219
199,008/000035.jpg,720,404,219,214
200,008/000036.jpg,720,404,203,213
201,008/000037.jpg,720,404,253,238
202,008/000038.jpg,720,404,263,238
203,008/000039.jpg,720,404,256,234
204,008/000040.jpg,720,404,252,234
205,008/000041.jpg,720,404,248,252
206,008/000042.jpg,720,404,260,240
207,008/000043.jpg,720,404,278,259
208,008/000044.jpg,720,404,245,254
209,008/000045.jpg,720,404,220,238
210,008/000046.jpg,720,404,210,249
211,008/000047.jpg,720,404,200,232
